# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = model_model
# start_datetime = 2021-06-14 03:35:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./model_kmer_sim/input_trivial_v32.json
# init = ./model_kmer_sim/init.json
# random
#   seed = 264263438 (Default)
# output
#   file = ./model_kmer_sim/output_trivial_v32.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,SEG.1,SEG.2,SEG.3,SEG.4,SEG.5,SEG.6,SEG.7,SEG.8,SEG.9,SEG.10,SEG.11,SEG.12,SEG.13,SEG.14,SEG.15
# Adaptation terminated
# Step size = 0.0233673
# Diagonal elements of inverse mass matrix:
# 0.0202527, 0.0281096, 0.0227927, 0.0258777, 0.0372263, 0.0201959, 0.0275456, 0.0225233, 0.0259972, 0.0370759, 0.0198086, 0.0281489, 0.0226974, 0.0266913, 0.0996633
-98627.5,0.926531,0.0233673,5,63,0,98632.6,1.01942,1.24913,1.12783,0.835141,2.08039,1.1898,1.31774,1.21127,0.885522,2.20303,1.30838,1.33784,1.27109,0.94032,0.850599
-98629.5,0.89951,0.0233673,5,47,0,98632.5,1.02768,1.2564,1.11887,0.853697,2.07996,1.18471,1.30807,1.22552,0.884601,2.23769,1.31423,1.33977,1.27063,0.957139,0.854334
-98630.3,0.974315,0.0233673,8,255,0,98638.6,1.27837,1.18881,1.04385,1.729,0.927104,1.4636,1.26743,1.13245,1.83164,0.9542,1.60581,1.33621,1.24455,1.82892,1.31324
-98630.8,0.967902,0.0233673,8,255,0,98636.4,1.0143,1.02421,1.48981,0.871976,1.93293,1.11369,1.11091,1.61685,0.913415,2.03996,1.14247,1.27263,1.63298,0.956041,1.13501
-98627.5,0.912994,0.0233673,8,255,0,98638.5,1.13317,1.42712,1.13724,1.46221,0.972345,1.22845,1.54844,1.24024,1.56013,0.993009,1.3353,1.70015,1.2897,1.60662,1.07487
-98624.7,0.767025,0.0233673,8,255,0,98636.6,1.26774,1.24095,1.13759,0.90998,1.56181,1.44131,1.30933,1.25651,0.971363,1.64644,1.51093,1.41687,1.32507,0.985866,0.64137
-98624.9,0.974358,0.0233673,8,255,0,98630.8,1.20685,1.49908,0.888716,1.41622,1.12701,1.34768,1.61446,0.933391,1.50974,1.23609,1.43854,1.66345,1.00238,1.55104,1.49116
-98625,0.902158,0.0233673,7,127,0,98630.9,1.24316,1.37529,0.970716,1.3498,1.1431,1.39926,1.54178,0.994052,1.42332,1.25796,1.47014,1.60069,1.07628,1.45773,1.23887
-98623,0.611744,0.0233673,8,255,0,98634.7,1.23341,1.14545,1.07777,1.00473,1.6221,1.42892,1.25977,1.12309,1.07989,1.73183,1.50529,1.35277,1.17516,1.11212,1.01511
-98623.9,0.812848,0.0233673,7,175,0,98631.2,1.35486,1.22685,1.12752,1.01824,1.35429,1.51027,1.29775,1.22948,1.06499,1.4787,1.6239,1.37298,1.27341,1.06141,0.906515
