# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = model_model
# start_datetime = 2021-06-14 03:19:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 100
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ./model_kmer_sim/input_trivial_v21.json
# init = ./model_kmer_sim/init.json
# random
#   seed = 263315374 (Default)
# output
#   file = ./model_kmer_sim/output_trivial_v21.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 888c0f6a
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,SEG.1,SEG.2,SEG.3,SEG.4,SEG.5,SEG.6,SEG.7,SEG.8,SEG.9,SEG.10,SEG.11,SEG.12,SEG.13,SEG.14,SEG.15
# Adaptation terminated
# Step size = 0.0489875
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
-519.973,0.993135,0.0489875,5,31,0,523.984,0.935486,0.54258,0.634832,0.612376,0.72085,0.87563,0.75074,1.2503,0.832918,1.59955,1.44801,1.124,1.88201,0.702435,0.82635
-520.727,0.791181,0.0489875,5,31,0,528.177,0.654585,0.741544,0.56741,0.687932,0.520315,0.993939,0.921049,0.648092,1.26844,1.06689,1.51428,1.36476,0.977534,1.78426,0.955039
-521.223,0.946641,0.0489875,4,31,0,529.369,0.643159,0.62856,0.608276,0.571801,0.590939,0.743968,1.00741,1.03946,1.13052,1.1678,1.01112,2.05866,1.71176,1.2946,0.638609
-526.755,0.999337,0.0489875,4,15,0,534.124,0.917421,0.933903,0.5196,0.895033,0.351853,0.918306,1.14605,1.10543,1.04394,0.650136,1.78928,2.19977,1.21894,1.9644,1.49725
-515.584,0.964516,0.0489875,4,31,0,529.957,0.619407,0.661304,0.678441,0.653977,0.588276,0.809337,0.848919,0.95348,1.03022,1.29212,1.23863,1.32722,1.32603,1.24413,1.20376
-518.738,0.868394,0.0489875,4,15,0,523.407,0.626345,0.467566,0.613655,0.90949,0.63788,0.963001,0.85052,0.744603,0.787681,1.72115,1.63359,1.43732,1.00105,0.931191,0.852683
-520.65,0.765598,0.0489875,4,15,0,527.773,0.838529,0.408309,0.46206,0.59185,0.565641,0.994806,0.868768,0.965262,0.90681,0.911284,1.49527,1.86897,1.26474,1.42207,0.795242
-520.526,0.981838,0.0489875,4,31,0,527.351,0.712004,0.452596,0.603618,1.07107,0.455011,0.738413,0.809088,1.02052,0.993575,1.3837,1.37359,1.44619,1.4806,1.129,1.79197
-522.156,0.884029,0.0489875,5,31,0,528.895,0.715587,0.840499,0.539542,0.423012,0.944157,0.86249,0.889894,0.972412,0.906122,1.10622,1.23202,1.52566,1.54519,1.52035,0.593881
-518.657,0.949827,0.0489875,4,15,0,527.11,0.694805,0.490282,0.479892,0.638852,0.736388,0.597119,0.772407,1.35094,0.787283,1.32342,1.5299,1.21382,1.60187,1.03035,1.13408
